x,y,theta,u0,u1
2.5,0.0129091,1.56707,0.129091,-0.0372369
2.50025,0.0796954,1.59005,0.667869,0.229794
2.49916,0.136466,1.54855,0.56781,-0.415014
2.49918,0.137481,1.50174,0.0101544,-0.468063
2.50235,0.183388,1.44264,0.460165,-0.591044
2.50781,0.225698,1.52502,0.426594,0.823756
2.51169,0.310553,1.4252,0.849441,-0.998123
2.5262,0.409495,1.43746,1,0.122554
2.53949,0.508607,1.41789,1,-0.195673
2.54611,0.551547,1.49322,0.434465,0.75326
2.55317,0.642356,1.53867,0.910829,0.454478
2.55638,0.742304,1.44891,1,-0.897521
2.56854,0.841562,1.51976,1,0.708494
2.5722,0.913187,1.66619,0.717181,1.46432
2.56268,1.01273,1.516,1,-1.50192
2.56688,1.08933,1.62771,0.767094,1.11709
2.56119,1.18916,1.56929,1,-0.584223
2.56131,1.27099,1.58786,0.818209,0.185685
2.55994,1.35158,1.58979,0.806051,0.0192988
2.55804,1.45156,1.61093,1,0.211467
2.55402,1.55148,1.63562,1,0.246837
2.54755,1.65127,1.65989,1,0.242751
2.53892,1.74789,1.71281,0.970012,0.529156
2.52476,1.84688,1.61731,1,-0.954958
2.52025,1.9439,1.60283,0.971235,-0.144806
2.51704,2.04385,1.64426,1,0.414292
2.5097,2.14358,1.52992,1,-1.14342
2.51379,2.24349,1.46988,1,-0.600431
2.52387,2.34298,1.54653,1,0.766542
2.52624,2.44066,1.42517,0.97702,-1.21358
2.53807,2.52131,1.5462,0.815173,1.21031
2.5395,2.57974,1.63515,0.584469,0.889444
2.53307,2.67953,1.79223,1,1.5708
2.51111,2.77709,1.86081,1,0.685798
2.48251,2.87292,1.75641,1,-1.04393
2.46406,2.9712,1.77664,1,0.202215
2.45537,3.01278,1.80261,0.424811,0.259758
2.4324,3.11011,1.89801,1,0.95399
2.40812,3.18165,2.02898,0.755494,1.30966
2.40812,3.18165,2.03166,0,0.0268078
2.36365,3.27122,1.90557,1,-1.26084
2.33079,3.36567,2.06265,1,1.5708
2.28356,3.45381,2.1874,1,1.24751
2.22574,3.5354,2.03925,1,-1.48149
2.18643,3.61308,2.15599,0.870677,1.16733
2.13119,3.69644,2.17526,1,0.192719
2.08297,3.76626,2.18558,0.848515,0.103218
2.05794,3.8017,2.20416,0.433849,0.18583
1.99876,3.88231,2.32141,1,1.17247
1.9718,3.91121,2.28793,0.39526,-0.334855
1.90607,3.98658,2.4407,1,1.52778
1.8298,4.05094,2.33291,0.99796,-1.07788
1.80216,4.0799,2.17638,0.400383,-1.56538
1.74523,4.16212,2.07535,1,-1.01031
1.7024,4.23969,1.92862,0.886167,-1.46721
1.66737,4.33336,2.01519,1,0.86569
1.64811,4.3738,1.87106,0.447939,-1.44133
1.62964,4.43345,1.88707,0.624475,0.16005
1.60064,4.52208,1.79788,0.932555,-0.891887
1.60064,4.52208,1.81685,0,0.189708
1.58681,4.57716,1.9219,0.567845,1.05048
1.58346,4.5863,1.88438,0.0973837,-0.375126
1.58179,4.59144,1.96305,0.053957,0.786676
1.54357,4.68384,2.04179,1,0.787413
1.54357,4.68384,1.98228,0,-0.595083
1.53417,4.70538,2.00543,0.235046,0.231498
1.50562,4.76688,1.90596,0.678021,-0.994746
1.49464,4.79838,1.75803,0.333576,-1.4793
1.4938,4.80282,1.80083,0.0451568,0.428063
1.4938,4.80282,1.6513,0,-1.49537
1.48576,4.9025,1.68859,1,0.372911
1.48357,4.92103,1.77466,0.186668,0.860716
1.48357,4.92103,1.65165,0,-1.23009
1.47971,4.96866,1.55144,0.477821,-1.00209
